name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Server: ECDHE-ECDSA-AES256-SHA/10000/17/1/5/iterations:100/repeats:1",100,76603.1,57204.9,ns,,,,,
"Server: ECDHE-ECDSA-AES256-SHA/1000000/17/1/5/iterations:100/repeats:1",100,1.07472e+07,3.85777e+06,ns,,,,,
"Server: ECDHE-RSA-RC4-SHA/100/18/1/5/iterations:100/repeats:1",100,13618,13578,ns,,,,,
"Server: ECDHE-RSA-RC4-SHA/10000/18/1/5/iterations:100/repeats:1",100,102199,82970.1,ns,,,,,
"Server: ECDHE-RSA-RC4-SHA/1000000/18/1/5/iterations:100/repeats:1",100,1.57322e+07,6.59259e+06,ns,,,,,
"Server: ECDHE-RSA-DES-CBC3-SHA/100/19/1/5/iterations:100/repeats:1",100,22423.8,22386.9,ns,,,,,
"Server: ECDHE-RSA-DES-CBC3-SHA/10000/19/1/5/iterations:100/repeats:1",100,807611,674554,ns,,,,,
"Server: ECDHE-RSA-DES-CBC3-SHA/1000000/19/1/5/iterations:100/repeats:1",100,1.35904e+08,6.57204e+07,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA/100/20/1/5/iterations:100/repeats:1",100,14507,14484.6,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA/10000/20/1/5/iterations:100/repeats:1",100,75661.2,56658.6,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA/1000000/20/1/5/iterations:100/repeats:1",100,1.04758e+07,3.78751e+06,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA/100/21/1/5/iterations:100/repeats:1",100,14553.9,14527.3,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA/10000/21/1/5/iterations:100/repeats:1",100,77109,57747.3,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA/1000000/21/1/5/iterations:100/repeats:1",100,1.0868e+07,3.96935e+06,ns,,,,,
"Server: ECDHE-ECDSA-AES128-SHA256/100/22/1/5/iterations:100/repeats:1",100,15433.3,15401.3,ns,,,,,
"Server: ECDHE-ECDSA-AES128-SHA256/10000/22/1/5/iterations:100/repeats:1",100,104325,80925.9,ns,,,,,
"Server: ECDHE-ECDSA-AES128-SHA256/1000000/22/1/5/iterations:100/repeats:1",100,1.5194e+07,6.20818e+06,ns,,,,,
"Server: ECDHE-ECDSA-AES256-SHA384/100/23/1/5/iterations:100/repeats:1",100,15764.5,15744,ns,,,,,
"Server: ECDHE-ECDSA-AES256-SHA384/10000/23/1/5/iterations:100/repeats:1",100,90483.4,68429.8,ns,,,,,
"Server: ECDHE-ECDSA-AES256-SHA384/1000000/23/1/5/iterations:100/repeats:1",100,1.41032e+07,4.9507e+06,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA256/100/24/1/5/iterations:100/repeats:1",100,15696.4,15395.7,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA256/10000/24/1/5/iterations:100/repeats:1",100,106964,82087.1,ns,,,,,
"Server: ECDHE-RSA-AES128-SHA256/1000000/24/1/5/iterations:100/repeats:1",100,1.51597e+07,6.22452e+06,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA384/100/25/1/5/iterations:100/repeats:1",100,15663.2,15629,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA384/10000/25/1/5/iterations:100/repeats:1",100,90799.5,68291.1,ns,,,,,
"Server: ECDHE-RSA-AES256-SHA384/1000000/25/1/5/iterations:100/repeats:1",100,1.4061e+07,4.91716e+06,ns,,,,,
"Server: ECDHE-ECDSA-AES128-GCM-SHA256/100/26/1/5/iterations:100/repeats:1",100,12519.7,12482.9,ns,,,,,
"Server: ECDHE-ECDSA-AES128-GCM-SHA256/10000/26/1/5/iterations:100/repeats:1",100,43318.7,32475.2,ns,,,,,
"Server: ECDHE-ECDSA-AES128-GCM-SHA256/1000000/26/1/5/iterations:100/repeats:1",100,5.51069e+06,1.46263e+06,ns,,,,,
"Server: ECDHE-ECDSA-AES256-GCM-SHA384/100/27/1/5/iterations:100/repeats:1",100,12528,12490.2,ns,,,,,
"Server: ECDHE-ECDSA-AES256-GCM-SHA384/10000/27/1/5/iterations:100/repeats:1",100,43620.7,32733,ns,,,,,
"Server: ECDHE-ECDSA-AES256-GCM-SHA384/1000000/27/1/5/iterations:100/repeats:1",100,5.8266e+06,1.60441e+06,ns,,,,,
"Server: ECDHE-RSA-AES128-GCM-SHA256/100/28/1/5/iterations:100/repeats:1",100,12492.9,12454.8,ns,,,,,
"Server: ECDHE-RSA-AES128-GCM-SHA256/10000/28/1/5/iterations:100/repeats:1",100,41843.1,31208.2,ns,,,,,
"Server: ECDHE-RSA-AES128-GCM-SHA256/1000000/28/1/5/iterations:100/repeats:1",100,5.56236e+06,1.46662e+06,ns,,,,,
"Server: ECDHE-RSA-AES256-GCM-SHA384/100/29/1/5/iterations:100/repeats:1",100,12619.5,12579.8,ns,,,,,
"Server: ECDHE-RSA-AES256-GCM-SHA384/10000/29/1/5/iterations:100/repeats:1",100,43498.6,32829.5,ns,,,,,
"Server: ECDHE-RSA-AES256-GCM-SHA384/1000000/29/1/5/iterations:100/repeats:1",100,5.87468e+06,1.63431e+06,ns,,,,,
"Server: ECDHE-RSA-CHACHA20-POLY1305/100/30/1/5/iterations:100/repeats:1",100,13114.9,13078.2,ns,,,,,
"Server: ECDHE-RSA-CHACHA20-POLY1305/10000/30/1/5/iterations:100/repeats:1",100,56242.6,42369.6,ns,,,,,
"Server: ECDHE-RSA-CHACHA20-POLY1305/1000000/30/1/5/iterations:100/repeats:1",100,7.21318e+06,2.24356e+06,ns,,,,,
"Server: ECDHE-ECDSA-CHACHA20-POLY1305/100/31/1/5/iterations:100/repeats:1",100,13129.1,13088.7,ns,,,,,
"Server: ECDHE-ECDSA-CHACHA20-POLY1305/10000/31/1/5/iterations:100/repeats:1",100,54736.1,41513.7,ns,,,,,
"Server: ECDHE-ECDSA-CHACHA20-POLY1305/1000000/31/1/5/iterations:100/repeats:1",100,7.16922e+06,2.22208e+06,ns,,,,,
"Server: DHE-RSA-CHACHA20-POLY1305/100/32/1/5/iterations:100/repeats:1",100,12481.3,12449.7,ns,,,,,
"Server: DHE-RSA-CHACHA20-POLY1305/10000/32/1/5/iterations:100/repeats:1",100,58791,41261.6,ns,,,,,
