name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,time_unit,real_time_diff,cpu_time_idff,match
Server: AES128-SHA256/1000000/8/1/5/iterations:100/repeats:1,100,1.55E+07,6.65E+06,ns,Server: AES128-SHA256/1000000/8/1/5/iterations:100/repeats:1,100,1.51E+07,6.16E+06,ns,0.026149772,0.080368121,mathc
Server: AES256-SHA256/100/9/1/5/iterations:100/repeats:1,100,14844,14848.6,ns,Server: AES256-SHA256/100/9/1/5/iterations:100/repeats:1,100,15246.6,15211.2,ns,-0.02712207,-0.023837699,mathc
Server: AES256-SHA256/10000/9/1/5/iterations:100/repeats:1,100,110446,85482.5,ns,Server: AES256-SHA256/10000/9/1/5/iterations:100/repeats:1,100,104957,81783.2,ns,0.049698495,0.045233006,mathc
Server: AES256-SHA256/1000000/9/1/5/iterations:100/repeats:1,100,1.62E+07,6.82E+06,ns,Server: AES256-SHA256/1000000/9/1/5/iterations:100/repeats:1,100,1.53E+07,6.34E+06,ns,0.053861281,0.075527533,mathc
Server: DHE-RSA-AES128-SHA256/100/10/1/5/iterations:100/repeats:1,100,14164.2,14152.9,ns,Server: DHE-RSA-AES128-SHA256/100/10/1/5/iterations:100/repeats:1,100,14825.8,14793.9,ns,-0.046709309,-0.043328669,mathc
Server: DHE-RSA-AES128-SHA256/10000/10/1/5/iterations:100/repeats:1,100,113947,83514.8,ns,Server: DHE-RSA-AES128-SHA256/10000/10/1/5/iterations:100/repeats:1,100,110855,80464.9,ns,0.027135423,0.037903483,mathc
Server: DHE-RSA-AES128-SHA256/1000000/10/1/5/iterations:100/repeats:1,100,1.55E+07,6.65E+06,ns,Server: DHE-RSA-AES128-SHA256/1000000/10/1/5/iterations:100/repeats:1,100,1.52E+07,6.17E+06,ns,0.020259922,0.078134019,mathc
Server: DHE-RSA-AES256-SHA256/100/11/1/5/iterations:100/repeats:1,100,14289.9,14162.5,ns,Server: DHE-RSA-AES256-SHA256/100/11/1/5/iterations:100/repeats:1,100,14934.6,14905,ns,-0.045115781,-0.049815498,mathc
Server: DHE-RSA-AES256-SHA256/10000/11/1/5/iterations:100/repeats:1,100,116329,84600.9,ns,Server: DHE-RSA-AES256-SHA256/10000/11/1/5/iterations:100/repeats:1,100,112009,81604,ns,0.037136054,0.036724915,mathc
Server: DHE-RSA-AES256-SHA256/1000000/11/1/5/iterations:100/repeats:1,100,1.61E+07,6.72E+06,ns,Server: DHE-RSA-AES256-SHA256/1000000/11/1/5/iterations:100/repeats:1,100,1.52E+07,6.28E+06,ns,0.053228084,0.068910761,mathc
Server: AES128-GCM-SHA256/100/12/1/5/iterations:100/repeats:1,100,12439.8,12430.1,ns,Server: AES128-GCM-SHA256/100/12/1/5/iterations:100/repeats:1,100,12565.7,12535.7,ns,-0.010120741,-0.008423941,mathc
Server: AES128-GCM-SHA256/10000/12/1/5/iterations:100/repeats:1,100,43027.6,32371.1,ns,Server: AES128-GCM-SHA256/10000/12/1/5/iterations:100/repeats:1,100,43304.6,32509.2,ns,-0.006437728,-0.004248028,mathc
Server: AES128-GCM-SHA256/1000000/12/1/5/iterations:100/repeats:1,100,3.86E+06,1.42E+06,ns,Server: AES128-GCM-SHA256/1000000/12/1/5/iterations:100/repeats:1,100,5.50E+06,1.46E+06,ns,-0.424660654,-0.02702481,mathc
Server: AES256-GCM-SHA384/100/13/1/5/iterations:100/repeats:1,100,12486.7,12486.2,ns,Server: AES256-GCM-SHA384/100/13/1/5/iterations:100/repeats:1,100,12564.4,12524.5,ns,-0.006222621,-0.003058006,mathc
Server: AES256-GCM-SHA384/10000/13/1/5/iterations:100/repeats:1,100,44224.6,33251,ns,Server: AES256-GCM-SHA384/10000/13/1/5/iterations:100/repeats:1,100,43521.5,32864.3,ns,0.015898391,0.011766567,mathc
Server: AES256-GCM-SHA384/1000000/13/1/5/iterations:100/repeats:1,100,4.18E+06,1.56E+06,ns,Server: AES256-GCM-SHA384/1000000/13/1/5/iterations:100/repeats:1,100,5.82E+06,1.60E+06,ns,-0.392626327,-0.02087459,mathc
Server: DHE-RSA-AES128-GCM-SHA256/100/14/1/5/iterations:100/repeats:1,100,11808,11789.5,ns,Server: DHE-RSA-AES128-GCM-SHA256/100/14/1/5/iterations:100/repeats:1,100,12165.3,12113.2,ns,-0.030259146,-0.026722914,mathc
Server: DHE-RSA-AES128-GCM-SHA256/10000/14/1/5/iterations:100/repeats:1,100,43167.7,31124.5,ns,Server: DHE-RSA-AES128-GCM-SHA256/10000/14/1/5/iterations:100/repeats:1,100,45042,30883.4,ns,-0.043419038,0.007806783,mathc
Server: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/5/iterations:100/repeats:1,100,3.93E+06,1.43E+06,ns,Server: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/5/iterations:100/repeats:1,100,5.53E+06,1.45E+06,ns,-0.407670993,-0.015395439,mathc
Server: DHE-RSA-AES256-GCM-SHA384/100/15/1/5/iterations:100/repeats:1,100,11681.2,11656.2,ns,Server: DHE-RSA-AES256-GCM-SHA384/100/15/1/5/iterations:100/repeats:1,100,11991.6,11968.3,ns,-0.026572612,-0.026077221,mathc
Server: DHE-RSA-AES256-GCM-SHA384/10000/15/1/5/iterations:100/repeats:1,100,44316.8,32039.1,ns,Server: DHE-RSA-AES256-GCM-SHA384/10000/15/1/5/iterations:100/repeats:1,100,47373.1,32771.4,ns,-0.068964817,-0.022345704,mathc
Server: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/5/iterations:100/repeats:1,100,4.17E+06,1.57E+06,ns,Server: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/5/iterations:100/repeats:1,100,5.77E+06,1.59E+06,ns,-0.381075915,-0.015236754,mathc
Server: ECDHE-ECDSA-AES128-SHA/100/16/1/5/iterations:100/repeats:1,100,14179.2,14185.5,ns,Server: ECDHE-ECDSA-AES128-SHA/100/16/1/5/iterations:100/repeats:1,100,14433.8,14397.1,ns,-0.017955879,-0.014697404,mathc
Server: ECDHE-ECDSA-AES128-SHA/10000/16/1/5/iterations:100/repeats:1,100,72149.9,53824.2,ns,Server: ECDHE-ECDSA-AES128-SHA/10000/16/1/5/iterations:100/repeats:1,100,74619.8,55876.4,ns,-0.034232896,-0.036727491,mathc
Server: ECDHE-ECDSA-AES128-SHA/1000000/16/1/5/iterations:100/repeats:1,100,9.43E+06,3.60E+06,ns,Server: ECDHE-ECDSA-AES128-SHA/1000000/16/1/5/iterations:100/repeats:1,100,1.04E+07,3.72E+06,ns,-0.106761872,-0.032411063,mathc
Server: ECDHE-ECDSA-AES256-SHA/100/17/1/5/iterations:100/repeats:1,100,14240.9,14248.6,ns,Server: ECDHE-ECDSA-AES256-SHA/100/17/1/5/iterations:100/repeats:1,100,14297.4,14275.3,ns,-0.003967446,-0.001870363,mathc
Server: ECDHE-ECDSA-AES256-SHA/10000/17/1/5/iterations:100/repeats:1,100,74505.3,55277.5,ns,Server: ECDHE-ECDSA-AES256-SHA/10000/17/1/5/iterations:100/repeats:1,100,76603.1,57204.9,ns,-0.028156386,-0.033692918,mathc
Server: ECDHE-ECDSA-AES256-SHA/1000000/17/1/5/iterations:100/repeats:1,100,1.01E+07,3.74E+06,ns,Server: ECDHE-ECDSA-AES256-SHA/1000000/17/1/5/iterations:100/repeats:1,100,1.07E+07,3.86E+06,ns,-0.060362689,-0.030991998,mathc
Server: ECDHE-RSA-RC4-SHA/100/18/1/5/iterations:100/repeats:1,100,13370.6,13375.5,ns,Server: ECDHE-RSA-RC4-SHA/100/18/1/5/iterations:100/repeats:1,100,13618,13578,ns,-0.018503283,-0.014913831,mathc
Server: ECDHE-RSA-RC4-SHA/10000/18/1/5/iterations:100/repeats:1,100,97628.9,78453.1,ns,Server: ECDHE-RSA-RC4-SHA/10000/18/1/5/iterations:100/repeats:1,100,102199,82970.1,ns,-0.046810934,-0.054441299,mathc
Server: ECDHE-RSA-RC4-SHA/1000000/18/1/5/iterations:100/repeats:1,100,1.31E+07,6.09E+06,ns,Server: ECDHE-RSA-RC4-SHA/1000000/18/1/5/iterations:100/repeats:1,100,1.57E+07,6.59E+06,ns,-0.201692676,-0.076296266,mathc
Server: ECDHE-RSA-DES-CBC3-SHA/100/19/1/5/iterations:100/repeats:1,100,21752.4,21764.2,ns,Server: ECDHE-RSA-DES-CBC3-SHA/100/19/1/5/iterations:100/repeats:1,100,22423.8,22386.9,ns,-0.03086556,-0.027815374,mathc
Server: ECDHE-RSA-DES-CBC3-SHA/10000/19/1/5/iterations:100/repeats:1,100,755176,631075,ns,Server: ECDHE-RSA-DES-CBC3-SHA/10000/19/1/5/iterations:100/repeats:1,100,807611,674554,ns,-0.069434145,-0.064455922,mathc
Server: ECDHE-RSA-DES-CBC3-SHA/1000000/19/1/5/iterations:100/repeats:1,100,1.25E+08,6.13E+07,ns,Server: ECDHE-RSA-DES-CBC3-SHA/1000000/19/1/5/iterations:100/repeats:1,100,1.36E+08,6.57E+07,ns,-0.087701887,-0.06704311,mathc
Server: ECDHE-RSA-AES128-SHA/100/20/1/5/iterations:100/repeats:1,100,13748.6,13736.4,ns,Server: ECDHE-RSA-AES128-SHA/100/20/1/5/iterations:100/repeats:1,100,14507,14484.6,ns,-0.05516198,-0.051654861,mathc
Server: ECDHE-RSA-AES128-SHA/10000/20/1/5/iterations:100/repeats:1,100,72142.6,53949.5,ns,Server: ECDHE-RSA-AES128-SHA/10000/20/1/5/iterations:100/repeats:1,100,75661.2,56658.6,ns,-0.048772847,-0.047814454,mathc
Server: ECDHE-RSA-AES128-SHA/1000000/20/1/5/iterations:100/repeats:1,100,9.48E+06,3.60E+06,ns,Server: ECDHE-RSA-AES128-SHA/1000000/20/1/5/iterations:100/repeats:1,100,1.05E+07,3.79E+06,ns,-0.104972259,-0.049430893,mathc
Server: ECDHE-RSA-AES256-SHA/100/21/1/5/iterations:100/repeats:1,100,14087.6,14085.1,ns,Server: ECDHE-RSA-AES256-SHA/100/21/1/5/iterations:100/repeats:1,100,14553.9,14527.3,ns,-0.033100031,-0.030439242,mathc
Server: ECDHE-RSA-AES256-SHA/10000/21/1/5/iterations:100/repeats:1,100,74639.5,55526.8,ns,Server: ECDHE-RSA-AES256-SHA/10000/21/1/5/iterations:100/repeats:1,100,77109,57747.3,ns,-0.033085699,-0.038452014,mathc
Server: ECDHE-RSA-AES256-SHA/1000000/21/1/5/iterations:100/repeats:1,100,1.02E+07,3.74E+06,ns,Server: ECDHE-RSA-AES256-SHA/1000000/21/1/5/iterations:100/repeats:1,100,1.09E+07,3.97E+06,ns,-0.06669284,-0.058216081,mathc
Server: ECDHE-ECDSA-AES128-SHA256/100/22/1/5/iterations:100/repeats:1,100,14781.9,14791.1,ns,Server: ECDHE-ECDSA-AES128-SHA256/100/22/1/5/iterations:100/repeats:1,100,15433.3,15401.3,ns,-0.044067407,-0.039620032,mathc
Server: ECDHE-ECDSA-AES128-SHA256/10000/22/1/5/iterations:100/repeats:1,100,107869,83835.8,ns,Server: ECDHE-ECDSA-AES128-SHA256/10000/22/1/5/iterations:100/repeats:1,100,104325,80925.9,ns,0.032854666,0.035957586,mathc
Server: ECDHE-ECDSA-AES128-SHA256/1000000/22/1/5/iterations:100/repeats:1,100,1.55E+07,6.61E+06,ns,Server: ECDHE-ECDSA-AES128-SHA256/1000000/22/1/5/iterations:100/repeats:1,100,1.52E+07,6.21E+06,ns,0.017396366,0.065292888,mathc
Server: ECDHE-ECDSA-AES256-SHA384/100/23/1/5/iterations:100/repeats:1,100,15139.9,15105.6,ns,Server: ECDHE-ECDSA-AES256-SHA384/100/23/1/5/iterations:100/repeats:1,100,15764.5,15744,ns,-0.041255226,-0.04054878,mathc
Server: ECDHE-ECDSA-AES256-SHA384/10000/23/1/5/iterations:100/repeats:1,100,94442.1,71793.5,ns,Server: ECDHE-ECDSA-AES256-SHA384/10000/23/1/5/iterations:100/repeats:1,100,90483.4,68429.8,ns,0.041916688,0.049155485,mathc
Server: ECDHE-ECDSA-AES256-SHA384/1000000/23/1/5/iterations:100/repeats:1,100,1.32E+07,5.28E+06,ns,Server: ECDHE-ECDSA-AES256-SHA384/1000000/23/1/5/iterations:100/repeats:1,100,1.41E+07,4.95E+06,ns,-0.069469406,0.065750298,mathc
Server: ECDHE-RSA-AES128-SHA256/100/24/1/5/iterations:100/repeats:1,100,14795.3,14798.6,ns,Server: ECDHE-RSA-AES128-SHA256/100/24/1/5/iterations:100/repeats:1,100,15696.4,15395.7,ns,-0.060904476,-0.038783556,mathc
Server: ECDHE-RSA-AES128-SHA256/10000/24/1/5/iterations:100/repeats:1,100,110166,84917.7,ns,Server: ECDHE-RSA-AES128-SHA256/10000/24/1/5/iterations:100/repeats:1,100,106964,82087.1,ns,0.029065229,0.034482885,mathc
Server: ECDHE-RSA-AES128-SHA256/1000000/24/1/5/iterations:100/repeats:1,100,1.54E+07,6.59E+06,ns,Server: ECDHE-RSA-AES128-SHA256/1000000/24/1/5/iterations:100/repeats:1,100,1.52E+07,6.22E+06,ns,0.017619689,0.058324176,mathc
Server: ECDHE-RSA-AES256-SHA384/100/25/1/5/iterations:100/repeats:1,100,15691,15655.9,ns,Server: ECDHE-RSA-AES256-SHA384/100/25/1/5/iterations:100/repeats:1,100,15663.2,15629,ns,0.001771716,0.001721159,mathc
Server: ECDHE-RSA-AES256-SHA384/10000/25/1/5/iterations:100/repeats:1,100,95124.9,72220.1,ns,Server: ECDHE-RSA-AES256-SHA384/10000/25/1/5/iterations:100/repeats:1,100,90799.5,68291.1,ns,0.045470744,0.057533119,mathc
Server: ECDHE-RSA-AES256-SHA384/1000000/25/1/5/iterations:100/repeats:1,100,1.32E+07,5.30E+06,ns,Server: ECDHE-RSA-AES256-SHA384/1000000/25/1/5/iterations:100/repeats:1,100,1.41E+07,4.92E+06,ns,-0.063205571,0.076983462,mathc
Server: ECDHE-ECDSA-AES128-GCM-SHA256/100/26/1/5/iterations:100/repeats:1,100,12451.8,12439.4,ns,Server: ECDHE-ECDSA-AES128-GCM-SHA256/100/26/1/5/iterations:100/repeats:1,100,12519.7,12482.9,ns,-0.005453027,-0.003484767,mathc
Server: ECDHE-ECDSA-AES128-GCM-SHA256/10000/26/1/5/iterations:100/repeats:1,100,43125.2,32466.1,ns,Server: ECDHE-ECDSA-AES128-GCM-SHA256/10000/26/1/5/iterations:100/repeats:1,100,43318.7,32475.2,ns,-0.004486936,-0.000280214,mathc
Server: ECDHE-ECDSA-AES128-GCM-SHA256/1000000/26/1/5/iterations:100/repeats:1,100,3.96E+06,1.44E+06,ns,Server: ECDHE-ECDSA-AES128-GCM-SHA256/1000000/26/1/5/iterations:100/repeats:1,100,5.51E+06,1.46E+06,ns,-0.390412151,-0.015431107,mathc
Server: ECDHE-ECDSA-AES256-GCM-SHA384/100/27/1/5/iterations:100/repeats:1,100,12378.3,12376.9,ns,Server: ECDHE-ECDSA-AES256-GCM-SHA384/100/27/1/5/iterations:100/repeats:1,100,12528,12490.2,ns,-0.012093745,-0.009071112,mathc
Server: ECDHE-ECDSA-AES256-GCM-SHA384/10000/27/1/5/iterations:100/repeats:1,100,43159.1,32754.9,ns,Server: ECDHE-ECDSA-AES256-GCM-SHA384/10000/27/1/5/iterations:100/repeats:1,100,43620.7,32733,ns,-0.010695311,0.00066905,mathc
Server: ECDHE-ECDSA-AES256-GCM-SHA384/1000000/27/1/5/iterations:100/repeats:1,100,4.20E+06,1.57E+06,ns,Server: ECDHE-ECDSA-AES256-GCM-SHA384/1000000/27/1/5/iterations:100/repeats:1,100,5.83E+06,1.60E+06,ns,-0.387906968,-0.018929077,mathc
Server: ECDHE-RSA-AES128-GCM-SHA256/100/28/1/5/iterations:100/repeats:1,100,12589.3,12595,ns,Server: ECDHE-RSA-AES128-GCM-SHA256/100/28/1/5/iterations:100/repeats:1,100,12492.9,12454.8,ns,0.007657296,0.011256704,mathc
Server: ECDHE-RSA-AES128-GCM-SHA256/10000/28/1/5/iterations:100/repeats:1,100,41808.9,31558,ns,Server: ECDHE-RSA-AES128-GCM-SHA256/10000/28/1/5/iterations:100/repeats:1,100,41843.1,31208.2,ns,-0.000818008,0.011208593,mathc
Server: ECDHE-RSA-AES128-GCM-SHA256/1000000/28/1/5/iterations:100/repeats:1,100,3.93E+06,1.43E+06,ns,Server: ECDHE-RSA-AES128-GCM-SHA256/1000000/28/1/5/iterations:100/repeats:1,100,5.56E+06,1.47E+06,ns,-0.415582102,-0.022562082,mathc
Server: ECDHE-RSA-AES256-GCM-SHA384/100/29/1/5/iterations:100/repeats:1,100,12420,12413.6,ns,Server: ECDHE-RSA-AES256-GCM-SHA384/100/29/1/5/iterations:100/repeats:1,100,12619.5,12579.8,ns,-0.016062802,-0.013211657,mathc
Server: ECDHE-RSA-AES256-GCM-SHA384/10000/29/1/5/iterations:100/repeats:1,100,42986.3,32600.1,ns,Server: ECDHE-RSA-AES256-GCM-SHA384/10000/29/1/5/iterations:100/repeats:1,100,43498.6,32829.5,ns,-0.011917751,-0.006987618,mathc
Server: ECDHE-RSA-AES256-GCM-SHA384/1000000/29/1/5/iterations:100/repeats:1,100,4.17E+06,1.58E+06,ns,Server: ECDHE-RSA-AES256-GCM-SHA384/1000000/29/1/5/iterations:100/repeats:1,100,5.87E+06,1.63E+06,ns,-0.410301161,-0.034620115,mathc
Server: ECDHE-RSA-CHACHA20-POLY1305/100/30/1/5/iterations:100/repeats:1,100,12454.8,12454.3,ns,Server: ECDHE-RSA-CHACHA20-POLY1305/100/30/1/5/iterations:100/repeats:1,100,13114.9,13078.2,ns,-0.052999647,-0.047705342,mathc
Server: ECDHE-RSA-CHACHA20-POLY1305/10000/30/1/5/iterations:100/repeats:1,100,49622.3,37630.7,ns,Server: ECDHE-RSA-CHACHA20-POLY1305/10000/30/1/5/iterations:100/repeats:1,100,56242.6,42369.6,ns,-0.133413808,-0.111846701,mathc
Server: ECDHE-RSA-CHACHA20-POLY1305/1000000/30/1/5/iterations:100/repeats:1,100,5.10E+06,2.03E+06,ns,Server: ECDHE-RSA-CHACHA20-POLY1305/1000000/30/1/5/iterations:100/repeats:1,100,7.21E+06,2.24E+06,ns,-0.414080067,-0.094849257,mathc
Server: ECDHE-ECDSA-CHACHA20-POLY1305/100/31/1/5/iterations:100/repeats:1,100,12662.7,12661.6,ns,Server: ECDHE-ECDSA-CHACHA20-POLY1305/100/31/1/5/iterations:100/repeats:1,100,13129.1,13088.7,ns,-0.036832587,-0.032631201,mathc
Server: ECDHE-ECDSA-CHACHA20-POLY1305/10000/31/1/5/iterations:100/repeats:1,100,48224.9,36650,ns,Server: ECDHE-ECDSA-CHACHA20-POLY1305/10000/31/1/5/iterations:100/repeats:1,100,54736.1,41513.7,ns,-0.135017387,-0.117158914,mathc
Server: ECDHE-ECDSA-CHACHA20-POLY1305/1000000/31/1/5/iterations:100/repeats:1,100,5.06E+06,2.01E+06,ns,Server: ECDHE-ECDSA-CHACHA20-POLY1305/1000000/31/1/5/iterations:100/repeats:1,100,7.17E+06,2.22E+06,ns,-0.417214406,-0.097224222,mathc
Server: DHE-RSA-CHACHA20-POLY1305/100/32/1/5/iterations:100/repeats:1,100,11767.3,11730.2,ns,Server: DHE-RSA-CHACHA20-POLY1305/100/32/1/5/iterations:100/repeats:1,100,12481.3,12449.7,ns,-0.060676621,-0.057792557,mathc
Server: DHE-RSA-CHACHA20-POLY1305/10000/32/1/5/iterations:100/repeats:1,100,49698.1,36062.4,ns,Server: DHE-RSA-CHACHA20-POLY1305/10000/32/1/5/iterations:100/repeats:1,100,58791,41261.6,ns,-0.182962729,-0.126005778,mathc
Server: DHE-RSA-CHACHA20-POLY1305/1000000/32/1/5/iterations:100/repeats:1,100,5.12E+06,2.02E+06,ns,Server: DHE-RSA-CHACHA20-POLY1305/1000000/32/1/5/iterations:100/repeats:1,100,7.15E+06,2.20E+06,ns,-0.397238521,-0.084578673,mathc
Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/100/33/1/5/iterations:100/repeats:1,100,12599,12588.8,ns,Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/100/33/1/5/iterations:100/repeats:1,100,12631.5,12605.9,ns,-0.00257957,-0.001356508,mathc
Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/10000/33/1/5/iterations:100/repeats:1,100,17257.1,17275.2,ns,Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/10000/33/1/5/iterations:100/repeats:1,100,17245.4,17260.3,ns,0.000677982,0.000863253,mathc
Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/1000000/33/1/5/iterations:100/repeats:1,100,4.09E+06,1.52E+06,ns,Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/1000000/33/1/5/iterations:100/repeats:1,100,5.74E+06,1.59E+06,ns,-0.402191983,-0.047327506,mathc
Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/100/34/1/5/iterations:100/repeats:1,100,12900.5,12896.7,ns,Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/100/34/1/5/iterations:100/repeats:1,100,12840,12794.8,ns,0.004689741,0.007964173,mathc
Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/10000/34/1/5/iterations:100/repeats:1,100,44559.2,33461.1,ns,Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/10000/34/1/5/iterations:100/repeats:1,100,44967.9,33853.1,ns,-0.009172068,-0.011579442,mathc
